league,team,players_used,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,url
GER-Bundesliga,Stuttgart,26,25.4,58.8,19,209,1710,19,36,23,59,34,2,5,42,2,36.2,32.3,23.9,56.2,304,824,1.89,1.21,3.11,1.79,3.0,1.91,1.26,3.16,1.7,2.96,/en/squads/598bc722/Stuttgart-Stats
GER-Bundesliga,Union Berlin,26,27.7,42.1,19,209,1710,19,16,11,27,14,2,2,50,1,20.8,19.3,13.7,33.0,226,610,0.84,0.58,1.42,0.74,1.32,1.1,0.72,1.82,1.01,1.74,/en/squads/7a41008f/Union-Berlin-Stats
GER-Bundesliga,Werder Bremen,22,28.1,51.4,19,209,1710,19,33,26,59,32,1,1,38,2,25.7,25.3,20.9,46.2,294,805,1.74,1.37,3.11,1.68,3.05,1.35,1.1,2.45,1.33,2.43,/en/squads/62add3bf/Werder-Bremen-Stats
GER-Bundesliga,Wolfsburg,23,25.7,43.9,19,209,1710,19,41,28,69,39,2,3,50,2,28.8,26.3,19.7,46.0,244,629,2.16,1.47,3.63,2.05,3.53,1.52,1.04,2.56,1.38,2.42,/en/squads/4eaa11d7/Wolfsburg-Stats
ITA-Serie A,Atalanta,28,27.3,56.0,22,242,1980,22,47,34,81,44,3,4,45,0,36.8,33.7,27.2,60.9,488,1065,2.14,1.55,3.68,2.0,3.55,1.67,1.23,2.91,1.53,2.77,/en/squads/922493f3/Atalanta-Stats
ITA-Serie A,Bologna,27,26.8,57.0,21,231,1890,21,33,23,56,29,4,5,34,3,27.2,23.3,16.8,40.1,344,855,1.57,1.1,2.67,1.38,2.48,1.3,0.8,2.1,1.11,1.91,/en/squads/1d8099f8/Bologna-Stats
ITA-Serie A,Cagliari,25,27.3,46.9,22,242,1980,22,22,17,39,19,3,3,45,3,28.6,26.2,20.0,46.3,304,707,1.0,0.77,1.77,0.86,1.64,1.3,0.91,2.21,1.19,2.1,/en/squads/c4260e09/Cagliari-Stats
ITA-Serie A,Como,32,27.5,54.2,22,242,1980,22,23,20,43,23,0,2,48,3,26.2,24.7,21.1,45.8,385,770,1.05,0.91,1.95,1.05,1.95,1.19,0.96,2.15,1.12,2.08,/en/squads/28c9c3cd/Como-Stats
ITA-Serie A,Empoli,27,25.8,40.6,22,242,1980,22,20,13,33,18,2,3,40,1,18.0,15.6,12.2,27.9,255,574,0.91,0.59,1.5,0.82,1.41,0.82,0.56,1.38,0.71,1.27,/en/squads/a3d88bd8/Empoli-Stats
ITA-Serie A,Fiorentina,29,26.6,51.5,21,231,1890,21,34,22,56,29,5,6,42,2,29.0,24.3,19.9,44.2,392,766,1.62,1.05,2.67,1.38,2.43,1.38,0.95,2.33,1.16,2.1,/en/squads/421387cf/Fiorentina-Stats
